Phone,Name,Postal Address,Physical Address,Email
(08) 899 77555,Durack Primary School,"PO Box  225, PALMERSTON, 0830, NT","50 Woodlake Bvd, Durack, 0830, NT",durack.school@ntschools.net
(08) 8935 9000,Driver Primary School,"PO Box  33, PALMERSTON, 0831, NT","37 Driver Ave, Driver, 0830, NT",admin.drivesch@ntschools.net
(08) 8978 2836,Douglas Daly School,"PMB 46, via Winnellie, 0822, NT","Jungawa Rd, Douglas-Daly, NT",janelle.thorne@ntschools.net
(08) 898 37777,Dripstone Middle School,"PO Box  41370, CASUARINA, 0811, NT","10 Delamere St, Tiwi, 0810, NT",dripstone.middle@ntschools.net
(08) 899 77000,Darwin Languages Centre,"P O Box 822, Nightcliff, 0814, NT","1 Nemarluk Dr, Ludmilla, NT, NT",dlc.nt@ntschools.net
(08) 894 25200,Darwin Middle School,"PO Box 2257, PARAP, 0804, NT","Atkins Drive, The Gardens, NT 0820, not available, NT",admin.darwinmiddle@ntschools.net
(08) 8999 1222,Darwin High School,"Bullocky Point, DARWIN, 0820, NT","10 Atkins Dr, The Gardens, 0820, NT",darwin.high@ntschools.net
(08) 897 33844,Clyde Fenton Primary School,"PO Box 421, KATHERINE, 0851, NT","101 Giles St, Katherine, 0850, NT",admin.clydesch@ntschools.net
(08) 895 85000,Centralian Senior College,"PO Box 4856, ALICE SPRINGS, 0871, NT","10 Grevillea Drive, Alice Springs, 0870, NT",admin.centraliansc@ntschools.net
(08) 895 52333,Centralian Middle School,"PO Box 1771, ALICE SPRINGS, 0871, NT","56 Milner Rd, Alice Springs, 0870, NT",centralian.middle@ntschools.net
(08) 897 33800,Casuarina Street Primary School,"PO Box 1046, KATHERINE, 0851, NT","Casuarina St, Katherine East, 0850, NT",casuarina.admin@ntschools.net
(08) 898 37300,Casuarina Senior College,"PO Box  40196, CASUARINA, 0811, NT","61 Parer Dr, Moil, 0810, NT",csc.admin@ntschools.net
(08) 8972 3212,Callistemon House,"PO Box 1971, Katherine East, 0851, NT","80 Callistemon Dr, Katherine East, 0850, NT",admin.callistemon@ntschools.net
(08) 8964 1505,Canteen Creek School,"PMB 105, via Alice Springs, 0872, NT","N/a, Canteen Creek, NT",admin.cantesch@ntschools.net
(08) 8975 4707,Bulman School,"PMB 13, Katherine, 0851, NT","N/A, Bulman, NT",mark.phillips@ntschools.net
(08) 9167 8957,Bulla Camp School,"PMB 89, Katherine, 0851, NT","N/A, Bulla, NT",jenine.williams@ntschools.net
(08) 895 85111,Braitling Primary School,"PO Box  1669, ALICE SPRINGS, 0871, NT","80 Head St, Alice Springs, 0870, NT",admin.braitsch@ntschools.net
(08) 895 52100,Bradshaw Primary School,"PO Box 1744, ALICE SPRINGS, 0871, NT","23 Adamson Ave, Alice Springs, 0870, NT",bradshaw.school@ntschools.net
(08) 8975 8780,Borroloola School,"PMB 5, Borroloola, 0854, NT","321 Robinson Rd, Borroloola, 0854, NT",admin.borrosch@ntschools.net
(08) 8956 6352,Bonya School,"PMB 69, via Alice Springs, 0872, NT","Community ID 26, Orrtipa-Thurra (Bonya), NT",mark.webster@ntschools.net
(08) 8978 5085,Belyuen School,"PMB 2, GPO Darwin, 0801, NT","N/A, Belyuen, NT",elspeth.hurse@ntschools.net
(08) 8988 6006,Berry Springs Primary School,"PO Box 135, Berry Springs, 0838, NT","1150 Cox Peninsula Rd, Berry Springs, 0838, NT",berrysprings.primary@ntschools.net
(08) 8976 0077,Batchelor Area School,"c/-, Batchelor Post Office, 0845, NT","71 Kirra Cres, Batchelor, 0845, NT",batchelor.as@ntschools.net
(08) 8983 3222,Bees Creek Primary School,"PO Box 2271, PALMERSTON, 0831, NT","20 Sattler Cres, Freds Pass, NT",bees.creek@ntschools.net
(08) 8975 4502,Barunga School,"PMB 117, via Katherine, 0851, NT","N/A, Barunga  (Bamyili), NT",office.barunga@ntschools.net
(08) 8955 3300,Araluen Christian School,"10 Blain Street, Alice Springs, 0870, NT","10 Blain St, Alice Springs, NT",admin.acc@ntschools.net
(08) 899 77500,Anula Primary School,"Yanyula Drive, ANULA, 0812, NT","73 Yanyula Dr, Anula, 0812, NT",anula.admin@ntschools.net
(08) 8956 7303,Areyonga School,"Areyonga, via Alice Springs, 0872, NT","wsw of Hermannsburg, 224km from Alice Springs, Areyonga, NT",areyonga.school@ntschools.net
(08) 8987 6355,Angurugu School,"PO Box 40, Alyangula, Groote Eylandt, 0885, NT","N/A, Angurugu, NT",admin.angurcec@ntschools.net
(08) 8956 9265,Ampilatwatja School,", PMB 84, Alice Springs, 0872, NT","N/A, Ampilatwatja (Ammaroo), NT",geoff.gillman@ntschools.net
